"Date of Rally","City","State","Venue","Estimated Visitors","period"
2016-08-20,"Fredericksburg","VA","Fredericksburg Expo & Conference Center",3600,"General"
2016-08-22,"Akron","OH","James A. Rhodes Arena, University of Akron",5000,"General"
2016-08-23,"Austin","TX","Luedecke Arena",7000,"General"
2016-08-24,"Tampa","FL","Entertainment Hall, Florida State Fairgrounds",3000,"General"
2016-08-24,"Jackson","MS","Mississippi Coliseum",NA,"General"
2016-08-25,"Manchester","NH","Radisson Hotel Manchester Downtown",850,"General"
2016-08-30,"Everett","WA","Xfinity Arena",NA,"General"
2016-08-31,"Phoenix","AZ","Phoenix Convention Center",7502,"General"
2016-09-01,"Wilmington","OH","Roberts Centre",5500,"General"
2016-09-06,"Greenville","NC","Greenville Convention Center",3000,"General"
2016-09-09,"Pensacola","FL","Pensacola Bay Center",12500,"General"
2016-09-12,"Asheville","NC","U.S. Cellular Center",6000,"General"
2016-09-13,"Clive","IA","7 Flags Event Center",1600,"General"
2016-09-14,"Canton","OH","Canton Memorial Civic Center",6000,"General"
2016-09-15,"Laconia","NH","Laconia Middle School",600,"General"
2016-09-16,"Miami","FL","Knight Center Complex",NA,"General"
2016-09-17,"Colorado Springs","CO","Colorado Jet Center, Colorado Springs Airport",NA,"General"
2016-09-19,"Estero","FL","Germain Arena",8000,"General"
2016-09-20,"High Point","NC","Millis Athletic Convocation Center, High Point University",2000,"General"
2016-09-20,"Kenansville","NC","Duplin County Events Center",6000,"General"
2016-09-21,"Toledo","OH","Stranahan Theater",NA,"General"
2016-09-22,"Chester Township","PA","Sun Center Studios",3000,"General"
2016-09-24,"Roanoke","VA","Berglund Center",9000,"General"
2016-09-27,"Melbourne","FL","Orlando Melbourne International Airport",NA,"General"
2016-09-28,"Council Bluffs","IA","Mid-America Center",1200,"General"
2016-09-28,"Waukesha","WI","Waukesha County Expo Center",1500,"General"
2016-09-29,"Bedford","NH","NH Sportsplex",850,"General"
2016-09-30,"Novi","MI","Suburban Collection Showplace",6000,"General"
2016-10-01,"Manheim","PA","Spooky Nook Sports",6000,"General"
2016-10-03,"Pueblo","CO","Pueblo Convention Center",2000,"General"
2016-10-03,"Loveland","CO","Budweiser Events Center",8000,"General"
2016-10-04,"Prescott Valley","AZ","Prescott Valley Event Center",7000,"General"
2016-10-05,"Henderson","NV","Henderson Pavilion",7000,"General"
2016-10-05,"Reno","NV","Reno-Sparks Convention Center",NA,"General"
2016-10-10,"Ambridge","PA","Ambridge Area High School",3000,"General"
2016-10-10,"Wilkes-Barre","PA","Mohegan Sun Arena at Casey Plaza",9000,"General"
2016-10-11,"Panama City Beach","FL","Aaron Bessant Amphitheater, Aaron Bessant Park",8500,"General"
2016-10-12,"Ocala","FL","Southeastern Livestock Pavilion",12000,"General"
2016-10-12,"Lakeland","FL","Lakeland Linder Regional Airport",7000,"General"
2016-10-13,"West Palm Beach","FL","South Florida Fairgrounds Expo Center",6000,"General"
2016-10-13,"Cincinnati","OH","U.S. Bank Arena",NA,"General"
2016-10-14,"Greensboro","NC","White Oak Amphitheatre",4000,"General"
2016-10-14,"Charlotte","NC","Charlotte Convention Center",5000,"General"
2016-10-15,"Portsmouth","NH","Toyota of Portsmouth",7000,"General"
2016-10-15,"Bangor","ME","Cross Insurance Center",4000,"General"
2016-10-17,"Green Bay","WI","KI Convention Center",3000,"General"
2016-10-18,"Colorado Springs","CO","Norris-Penrose Event Center",NA,"General"
2016-10-18,"Grand Junction","CO","West Star Aviation, Grand Junction Regional Airport",NA,"General"
2016-10-20,"Delaware","OH","Delaware County Fair",1500,"General"
2016-10-21,"Fletcher","NC","WNC Agricultural Center",3100,"General"
2016-10-21,"Johnstown","PA","Cambria County War Memorial Arena",4000,"General"
2016-10-21,"Newtown Township","PA","Newtown Athletic Club Sports Training Center",4000,"General"
2016-10-22,"Virginia Beach","VA","Library Plaza, Regent University",10000,"General"
2016-10-22,"Cleveland","OH","I-X Center",NA,"General"
2016-10-23,"Naples","FL","Collier County Fairgrounds",12000,"General"
2016-10-24,"St. Augustine","FL","St. Augustine Amphitheatre",NA,"General"
2016-10-24,"Tampa","FL","MidFlorida Credit Union Amphitheatre",15000,"General"
2016-10-25,"Sanford","FL","Million Air Orlando, Orlando Sanford International Airport",10000,"General"
2016-10-25,"Tallahassee","FL","Tallahassee Car Museum",NA,"General"
2016-10-26,"Kinston","NC","Kinston Jet Center, Kinston Regional Jetport",3100,"General"
2016-10-27,"Springfield","OH","Clark County Fairgrounds",5000,"General"
2016-10-27,"Toledo","OH","SeaGate Convention Centre",2850,"General"
2016-10-27,"Geneva","OH","Track and Field Building, SPIRE Institute",5000,"General"
2016-10-28,"Manchester","NH","Radisson Hotel Manchester Downtown",NA,"General"
2016-10-28,"Lisbon","ME","Open Door Christian Academy",1200,"General"
2016-10-28,"Cedar Rapids","IA","McGrath Amphitheatre",5000,"General"
2016-10-29,"Golden","CO","Jefferson County Events Center",NA,"General"
2016-10-29,"Phoenix","AZ","Phoenix Convention Center",8000,"General"
2016-10-30,"Las Vegas","NV","The Venetian Las Vegas",8400,"General"
2016-10-30,"Greeley","CO","Bank of Colorado Arena, University of Northern Colorado",3000,"General"
2016-10-30,"Albuquerque","NM","Atlantic Aviation ABQ, Albuquerque International Sunport",4000,"General"
2016-10-31,"Grand Rapids","MI","DeltaPlex Arena",6500,"General"
2016-10-31,"Warren","MI","Sports & Expo Center, Macomb Community College South Campus",5000,"General"
2016-11-01,"Eau Claire","WI","W.L. Zorn Arena",3000,"General"
2016-11-02,"Orlando","FL","CFE Arena, Central Florida Fairgrounds",10000,"General"
2016-11-02,"Pensacola","FL","Maritime Park's Hunter Amphitheater",6000,"General"
2016-11-02,"Miami","FL","Bayfront Park",2600,"General"
2016-11-03,"Jacksonville","FL","Jacksonville Equestrian Center",4000,"General"
2016-11-03,"Concord","NC","Cabarrus Arena & Events Center",4200,"General"
2016-11-03,"Selma","NC","The Farm",15000,"General"
2016-11-04,"Atkinson","NH","Atkinson Country Club",1000,"General"
2016-11-04,"Wilmington","OH","Airborne Maintenance & Engineering Services, Inc",3000,"General"
2016-11-04,"Hershey","PA","Giant Center",13000,"General"
2016-11-05,"Tampa","FL","Florida State Fairgrounds",5000,"General"
2016-11-05,"Wilmington","NC","Wilmington International Airport",5000,"General"
2016-11-05,"Reno","NV","Reno-Sparks Convention Center",8000,"General"
2016-11-05,"Denver","CO","National Western Complex",8000,"General"
2016-11-06,"Sioux City","IA","Sioux City Convention Center",4300,"General"
2016-11-06,"Minneapolis","MN","Sun Country Airlines",9000,"General"
2016-11-06,"Sterling Heights","MI","Freedom Hill Amphitheater, Freedom Hill County Park",8000,"General"
2016-11-06,"Moon Township","PA","Atlantic Aviation",12000,"General"
