"Date of Rally","City","State","Venue","Estimated Visitors","period"
"Monday, July 25, 2016","Winston-Salem","NC","Winston-Salem Fairground Annex, Dixie Classic Fairgrounds","4,728","General"
"Wednesday, July 27, 2016","Scranton","PA","Student Union Gymnasium, Lackawanna College","3,500","General"
"Wednesday, July 27, 2016","Toledo","OH","Huntington Center","8,879","General"
"Thursday, July 28, 2016","Cedar Rapids","IA","DoubleTree Hotel Cedar Rapids Convention Complex","3,000","General"
"Thursday, July 28, 2016","Davenport","IA","Adler Theatre","2,400","General"
"Friday, July 29, 2016","Colorado Springs","CO","Gallogly Event Center, University of Colorado Colorado Springs","2,500","General"
"Friday, July 29, 2016","Denver","CO","Wings Over the Rockies Air and Space Museum","6,000","General"
"Monday, August 1, 2016","Columbus","OH","Greater Columbus Convention Center","1,000","General"
"Monday, August 1, 2016","Mechanicsburg","PA","Cumberland Valley High School","5,000","General"
"Tuesday, August 2, 2016","Ashburn","VA","Briar Woods High School","800","General"
"Wednesday, August 3, 2016","Daytona Beach","FL","Ocean Center","10,000","General"
"Wednesday, August 3, 2016","Jacksonville","FL","Jacksonville Veterans Memorial Arena","10,000","General"
"Thursday, August 4, 2016","Portland","ME","Merrill Auditorium","1,600","General"
"Friday, August 5, 2016","Des Moines","IA","Iowa Events Center","6,000","General"
"Friday, August 5, 2016","Green Bay","WI","KI Convention Center","3,000","General"
"Saturday, August 6, 2016","Windham","NH","Windham High School","1,500","General"
"Tuesday, August 9, 2016","Fayetteville","NC","Crown Arena","3,000","General"
"Tuesday, August 9, 2016","Wilmington","NC","Trask Coliseum, University of North Carolina at Wilmington","","General"
"Wednesday, August 10, 2016","Sunrise","FL","BB&T Center","","General"
"Thursday, August 11, 2016","Kissimmee","FL","Silver Spurs Arena","8,000","General"
"Friday, August 12, 2016","Altoona","PA","Blair County Convention Center","5,000","General"
"Friday, August 12, 2016","Erie","PA","Erie Insurance Arena","8,000","General"
"Saturday, August 13, 2016","Fairfield","CT","William H. Pitt Center, Sacred Heart University","5,000","General"
"Tuesday, August 16, 2016","West Bend","WI","Ziegler Family Expo Center, Washington County Fair Park & Conference Center","2,000","General"
"Thursday, August 18, 2016","Charlotte","NC","Charlotte Convention Center","5,000","General"
"Friday, August 19, 2016","Dimondale","MI","The Summit Sports and Ice Complex","5,000","General"
"Saturday, August 20, 2016","Fredericksburg","VA","Fredericksburg Expo & Conference Center","3,600","General"
"Monday, August 22, 2016","Akron","OH","James A. Rhodes Arena, University of Akron","5,000","General"
"Tuesday, August 23, 2016","Austin","TX","Luedecke Arena","7,000","General"
"Wednesday, August 24, 2016","Tampa","FL","Entertainment Hall, Florida State Fairgrounds","3,000","General"
"Wednesday, August 24, 2016","Jackson","MS","Mississippi Coliseum","","General"
"Thursday, August 25, 2016","Manchester","NH","Radisson Hotel Manchester Downtown","850","General"
"Tuesday, August 30, 2016","Everett","WA","Xfinity Arena","","General"
"Wednesday, August 31, 2016","Phoenix","AZ","Phoenix Convention Center","7,502","General"
"Thursday, September 1, 2016","Wilmington","OH","Roberts Centre","5,500","General"
"Tuesday, September 6, 2016","Greenville","NC","Greenville Convention Center","3,000","General"
"Friday, September 9, 2016","Pensacola","FL","Pensacola Bay Center","12,500","General"
"Monday, September 12, 2016","Asheville","NC","U.S. Cellular Center","6,000","General"
